"","age","age2","dom.decid","dom.pine","dom.mixed","dom.spruce","dom.Bspr","dom.larch","dom.low","dom.open"
"BG_2_1",4.5,20.25,1,0,0,0,0,0,0,0
"BG_2_100",4.5,20.25,0.438245429173463,0,0,0.11549824432431,0,0,0,0
"BG_2_11",4.5,20.25,0,0,0,0,0,0,0,0
"BG_2_12",4.5,20.25,0.378791804023629,0,0,0,0,0,0,0
"BG_2_13",4.5,20.25,0,0,0,0,0.829583186662544,0,0,0
"BG_2_14",4.5,20.25,0,0,0,0,0.25117256804022,0,0,0
"BG_2_15",4.5,20.25,0,0,0,0,0.397859845387368,0,0,0
"BG_2_16",4.5,20.25,0,0,0,0,0,0,0,0.677570485889799
"BG_2_17",0,0,0,0,0,0,0,0,0.726367971954124,0.101099923582446
"BG_2_18",6.90670501713941,47.7025741937787,0.903906276484827,0,0,0,0,0,0,0
"BG_2_19",9.29853086693442,86.4626762833322,1,0,0,0,0,0,0,0
"BG_2_2",4.5,20.25,0.678941031776443,0,0,0,0,0,0,0
"BG_2_20",9.29234007132772,86.3475840012029,1,0,0,0,0,0,0,0
"BG_2_21",4.5,20.25,1,0,0,0,0,0,0,0
"BG_2_22",4.5,20.25,0,0,0,0,1,0,0,0
"BG_2_23",4.5,20.25,0,0,0,0,0.649994186223624,0,0,0
"BG_2_24",4.5,20.25,0,0,0,0,0.0498190199178246,0,0,0
"BG_2_25",0,0,0,0,0,0,0,0,0,0
"BG_2_26",0,0,0,0,0,0,0,0,0,0
"BG_2_27",0,0,0,0,0,0,0,0,0,0
"BG_2_28",0,0,0,0,0,0,0,0,0,0
"BG_2_29",5.45298693872753,29.7350665539331,0,0,0,0,0.0343002942132181,0,0.309990425724237,0
"BG_2_3",5.54471410012501,30.7438544521251,0.18974516326989,0,0,0,0.710867364533121,0,0,0
"BG_2_30",10.281179372725,105.702649294147,0,0,0,0.454002993169649,0,0,0,0
"BG_2_31",4.5,20.25,0,0,0,0,0.599808193587813,0,0.400169940566688,0
"BG_2_32",4.5,20.25,0,0,0,0,1,0,0,0
"BG_2_33",4.5,20.25,0,0,0,0,0,0,1,0
"BG_2_34",4.5,20.25,0,0,0,0,0,0,1,0
"BG_2_35",0,0,0,0,0,0,0,0,0,0
"BG_2_36",0,0,0,0,0,0,0,0,0,0
"BG_2_37",0,0,0,0,0,0,0,0,0,0
"BG_2_38",4.5,20.25,0,0,0,0,0,0,0,0
"BG_2_39",4.5,20.25,0,0,0,0,0.451925416458399,0,0,0
"BG_2_4",4.70761109468177,22.1616022187709,0,0,0,0,1,0,0,0
"BG_2_40",9.47647187700824,89.8035192357281,0,0,0,0.648321756655634,0,0,0,0
"BG_2_41",4.5,20.25,0,0,0,0,1,0,0,0
"BG_2_42",4.5,20.25,0,0,0,0,1,0,0,0
"BG_2_43",8.89444165333374,79.1110923245583,0.41952992746783,0,0,0,0,0,0,0
"BG_2_44",0,0,0,0,0,0,0,0,0,0
"BG_2_45",0,0,0,0,0,0,0,0,0,0
"BG_2_46",0,0,0,0,0,0,0,0,0,0
"BG_2_47",0,0,0,0,0,0,0,0,0,0
"BG_2_48",4.5,20.25,0,0,0,0,0.776729420196446,0,0,0
"BG_2_49",4.5,20.25,0,0,0,0,0.301238154656418,0,0,0
"BG_2_5",4.5,20.25,0,0,0,0,0,0,1,0
"BG_2_50",4.53891876532189,20.6017835581912,0,0,0,0,0.591872698416328,0,0.0756548480381497,0
"BG_2_51",4.5,20.25,0,0,0,0,1,0,0,0
"BG_2_52",5.4320846342091,29.5075434732106,0.343014125079512,0,0,0,0.512809129551889,0,0,0
"BG_2_53",8.4659886103047,71.672963149809,0.675702557556639,0,0,0,0,0,0,0
"BG_2_54",8.59388832774533,73.8549165897574,0,0,0,0,0,0,0,0
"BG_2_55",4.5,20.25,0,0,0,0,0,0,0,0
"BG_2_56",0,0,0,0,0,0,0,0,0,0
"BG_2_57",4.5090789197021,20.3317927041018,0,0,0,0,0,0.580886586089404,0,0
"BG_2_58",4.5,20.25,0.108038421260822,0,0,0,0,0.149081369003832,0,0
"BG_2_59",4.5,20.25,0,0,0,0,0,0,1,0
"BG_2_6",9.55930682380168,91.3803469515813,1,0,0,0,0,0,0,0
"BG_2_60",6.49617450651105,42.2002832190441,0.254789991885667,0,0,0,0.201375356552914,0,0,0
"BG_2_61",4.5,20.25,0.323298883888674,0,0,0,0.0303090136239126,0,0,0
"BG_2_62",4.56576661661851,20.8462247974281,0.226778172088364,0,0,0.728694420825875,0,0,0,0
"BG_2_63",8.08944522463163,65.4391240423155,0.998663019273255,0,0,0,0,0,0,0
"BG_2_64",5.60267820202805,31.3900030354802,0,0,0,0,0,0,0,0
"BG_2_65",4.5,20.25,0,0,0,0,0,0,0,0
"BG_2_66",5.05942974995627,25.5978293947425,0,0,0,0,0.169952592865599,0,0,0
"BG_2_67",4.5,20.25,0,0,0,0,0.174858551767315,0.61130891481978,0,0
"BG_2_68",4.5,20.25,0.832203893070993,0,0,0,0,0,0,0
"BG_2_69",4.5,20.25,0.533102957388415,0,0,0,0.125330984121372,0,0,0
"BG_2_7",4.5,20.25,0,0,0,0,0,0,0.406909804133172,0.204647340833254
"BG_2_70",4.5,20.25,0.983211440261048,0,0,0,0,0,0,0
"BG_2_71",4.5,20.25,0.712677739136925,0,0,0,0,0,0,0
"BG_2_72",4.5,20.25,0,0,0,0,0.874588796248142,0,0,0
"BG_2_73",10,100,0,0,0,0.394999041651489,0,0,0,0
"BG_2_74",10,100,0,0,0,0,0,0,0,0
"BG_2_75",6.38140200051912,40.7222914922295,0.226937078778039,0,0,0,0.267031743851982,0,0,0
"BG_2_76",4.5,20.25,0,0,0,0,0,0.317397512620493,0,0
"BG_2_77",7.36002396750562,54.1699528022571,0.709661728066427,0,0,0,0.0523581914611344,0,0,0
"BG_2_78",0,0,0,0,0,0,0,0,1,0
"BG_2_79",4.5,20.25,0,0,0,0,0.623193232568827,0,0,0
"BG_2_8",9.5459295798443,91.1247715433463,0.503864860864511,0,0,0.0460209115539986,0,0,0,0
"BG_2_80",4.5,20.25,0,0,0,0,0.532795614904727,0,0,0
"BG_2_81",4.5,20.25,0.605215540358081,0,0,0,0.264499581916779,0,0,0
"BG_2_82",4.5,20.25,0.0161562724960167,0,0,0,0.725137457320435,0,0,0
"BG_2_83",6.44290229740873,41.5109900139547,0.643172709728269,0,0,0.298644966038599,0,0,0,0
"BG_2_84",4.5,20.25,0,0,0,0,0,0,0,0.592932053806438
"BG_2_85",4.5,20.25,0.503206460745255,0,0,0,0,0,0,0
"BG_2_86",4.5,20.25,0,0,0,0,0.725790249498557,0,0,0
"BG_2_87",4.5,20.25,0,0,0,0,0.515299274582116,0,0,0
"BG_2_88",4.5,20.25,0,0,0,0,0,0,1,0
"BG_2_89",4.5,20.25,1,0,0,0,0,0,0,0
"BG_2_9",12.9175276351141,166.862520203937,0.633880162072092,0,0,0,0,0,0,0
"BG_2_90",4.5,20.25,0,0,0.08554050910318,0,0,0,0.00530206635989872,0
"BG_2_91",4.5,20.25,0.328936359086621,0,0,0,0,0,0,0
"BG_2_92",4.5,20.25,0.148406441980637,0,0,0,0,0,0.489015289569652,0
"BG_2_93",4.5,20.25,0.493327867348055,0,0,0,0,0,0,0
"BG_2_94",4.5,20.25,0,0,0,0,1,0,0,0
"BG_2_95",4.5,20.25,0,0,0,0,1,0,0,0
"BG_2_96",4.5,20.25,0,0,0,0,0.263767955839005,0,0,0
"BG_2_97",4.5,20.25,0,0,0,0,0.070296112761461,0,0,0
"BG_2_98",4.5,20.25,0,0,0,0,0,0,0,0
"BG_2_99",4.5,20.25,0.319015733788512,0.15902904979344,0,0,0,0,0,0
"BG_4_1",75.6682639953687,5725.68617607282,0.310070811193598,0,0,0,0,0,0,0
"BG_4_10",63.5267215759678,4035.64435419053,0,0,0,0,0.543729166488534,0,0,0
"BG_4_100",63.7743199522071,4067.16388536648,0,0,0,0,0.317318359788482,0,0,0
"BG_4_11",54.7506312291951,2997.63161999531,0,0,0.0791462093841289,0,0,0,0,0
"BG_4_12",48.7623277285753,2377.76460550899,0,0.140833228164485,0,0,0,0.760183361019691,0,0
"BG_4_13",51.8598110870713,2689.44000598672,0,0,0,0,0,1,0,0
"BG_4_14",60.0024375687028,3600.29251418608,0,1,0,0,0,0,0,0
"BG_4_15",60,3600,0,0,0,0,0,1,0,0
"BG_4_16",45.9159509301367,2108.27454981872,0,0,0,0,0,1,0,0
"BG_4_17",40,1600,0,0,0,0,0,1,0,0
"BG_4_18",40,1600,0,0,0,0,0,1,0,0
"BG_4_19",80,6400,0,0,0,0,0,1,0,0
"BG_4_2",55.2795559429394,3055.82930524857,0,0,0,0,0,0.968396725058788,0,0
"BG_4_20",60,3600,0,0.097733857651551,0,0,0,0.290551116112635,0,0
"BG_4_21",64.4573216764214,4154.74631769766,0,0,0,0,0,0.466487203332453,0,0
"BG_4_22",67.163180817986,4510.89285758948,0.126634454192618,0.380685818864895,0,0,0,0,0,0
"BG_4_23",69.5734478386268,4840.46464415412,0,0,0,0,0,0.445834718629165,0,0
"BG_4_24",60,3600,0,0,0,0,0,0.794769400700431,0,0
"BG_4_25",60,3600,0,0,0,0,0,0.92599991496983,0,0
"BG_4_26",60,3600,0,0,0.0686625056819004,0,0.638189050393038,0,0,0
"BG_4_27",40.0155913059781,1601.24754756707,0,0,0,0,0,0.958198370840568,0,0
"BG_4_28",41.1764433984521,1695.49949094593,0,0,0,0,0,0.89509840621504,0,0
"BG_4_29",50.7703314345647,2577.62655397555,0,0,0,0,0.331786076584313,0.305866404734552,0,0
"BG_4_3",66.8208965827014,4465.03222011608,0,0.597296007649298,0.136606554443454,0,0,0,0,0
"BG_4_30",60,3600,0,0.700101245364158,0,0,0,0.0221078015647632,0,0
"BG_4_31",55.5368565810919,3084.34243890877,0,0.476979937316387,0,0,0,0.128368238684378,0,0
"BG_4_32",70.0055906486461,4900.78272206581,0,0.27707210487982,0.444395883246895,0,0,0,0,0
"BG_4_33",77.6033783559998,6022.28433226445,0.238979212701238,0,0,0,0,0,0,0
"BG_4_34",60,3600,0,0,0,0,0,1,0,0
"BG_4_35",73.0731083756091,5339.67916767352,0,0.612180189796674,0,0,0,0.102523131505487,0,0
"BG_4_36",65.6623349644516,4311.54223298385,0,0,0.558991618498766,0,0,0,0,0
"BG_4_37",70.4900839307136,4968.85193255905,0,0.519294600394926,0,0,0,0.424054198580015,0,0
"BG_4_38",71.7892715759286,5153.69951340243,0,0,0,0,0,0.91867265065788,0,0
"BG_4_39",60,3600,0,0,0,0,0,1,0,0
"BG_4_4",63.0352992167263,3973.44894734222,0,0,0,0,0,1,0,0
"BG_4_40",60,3600,0,0,0,0,0,0.645746443217549,0,0
"BG_4_41",60,3600,0,0,0,0,0,0,0.765528793234969,0
"BG_4_42",79.6815603370461,6349.15105774631,0.590950337376505,0,0,0,0.332949522985453,0,0,0
"BG_4_43",70.75993946868,5006.96903361126,0,0,0,0,0,0.64978199632642,0,0
"BG_4_44",80,6400,0.252294197576463,0,0,0,0.0779088663243198,0,0,0
"BG_4_45",66.8400277005857,4467.58930301507,0,0,0,0,0.0719704691652956,0.734086689406794,0,0
"BG_4_46",74.9377778845248,5615.67055427037,0,0,0,0,0.554701298079373,0,0,0
"BG_4_47",60,3600,0,0.0453591673701079,0,0,0.47546307979541,0,0,0
"BG_4_48",75.8542918551549,5753.87359284703,0,0,0,0,0,0.775059809014923,0,0
"BG_4_49",48.0571897721313,2309.49348879464,0,0,0,0,0.266203461916235,0.0169174238670652,0.192003644204076,0
"BG_4_5",67.8136539880651,4598.69166721301,0,0.19244231837591,0,0,0,0.464643265285423,0,0
"BG_4_50",60.8892729965842,3707.50356605256,0,0,0,0,0.581353731283875,0,0,0
"BG_4_51",60,3600,0,0,0,0,0.576175789062163,0,0,0
"BG_4_52",81.2607692259427,6603.31261519192,1,0,0,0,0,0,0,0
"BG_4_53",70.5931905857719,4983.39855707911,0,0,0,0,0.280898350139932,0.176824257351445,0,0
