Codes,CommonName
SWSP,Swamp Sparrow
RCKI,Ruby-crowned Kinglet
CANG,Canada Goose
LCSP,Le Conte's Sparrow
COLO,Common Loon
LISP,Lincoln's Sparrow
SWTH,Swainson's Thrush
WISN,Wilson's Snipe
SORA,Sora
WTSP,White-throated Sparrow
DEJU,Dark-eyed Junco
CHSP,Chipping Sparrow
YBSA,Yellow-bellied Sapsucker
TEWA,Tennessee Warbler
YRWA,Yellow-rumped Warbler
PAWA,Palm Warbler
RWBL,Red-winged Blackbird
CCSP,Clay-colored Sparrow
RESQ,Red Squirrel
AMWI,American Wigeon
MALL,Mallard
CORA,Common Raven
COYE,Common Yellowthroat
CONW,Connecticut Warbler
OVEN,Ovenbird
REVI,Red-eyed Vireo
AMCR,American Crow
PISI,Pine Siskin
PIWO,Pileated Woodpecker
HAWO,Hairy Woodpecker
HETH,Hermit Thrush
GRAJ,Gray Jay
PBGR,Pied-billed Grebe
BHVI,Blue-headed Vireo
SACR,Sandhill Crane
WEWP,Western Wood-Pewee
YBFL,Yellow-bellied Flycatcher
OCWA,Orange-crowned Warbler
YEWA,Yellow Warbler
BBWA,Bay-breasted Warbler
BCCH,Black-capped Chickadee
MAWA,Magnolia Warbler
BOCH,Boreal Chickadee
AMRO,American Robin
WWCR,White-winged Crossbill
AMRE,American Redstart
RBNU,Red-breasted Nuthatch
FRGU,Franklin's Gull
LEFL,Least Flycatcher
PHVI,Philadelphia Vireo
CAJA,Canada Jay
TRES,Tree Swallow
CMWA,Cape May Warbler
RBGR,Rose-breasted Grosbeak
MOWA,Mourning Warbler
BRCR,Brown Creeper
GCKI,Golden-crowned Kinglet
WIWA,Wilson's Warbler
ALFL,Alder Flycatcher
NOWA,Northern Waterthrush
RUGR,Ruffed Grouse
HOSP,House Sparrow
BAWW,Black-and-white Warbler
BLTE,Black Tern
KILL,Killdeer
CEDW,Cedar Waxwing
SOSA,Solitary Sandpiper
AMCO,American Coot
BHCO,Brown-headed Cowbird
WETA,Western Tanager
BLJA,Blue Jay
EVGR,Evening Grosbeak
NOFL,Northern Flicker
WIWR,Winter Wren
AMGO,American Goldfinch
NOGO,Northern Goshawk
MODO,Mourning Dove
LESC,Lesser Scaup
AMBI,American Bittern
RUBL,Rusty Blackbird
NONE,NONE
OSFL,Olive-sided Flycatcher
BADO,Barred Owl
RBGU,Ring-billed Gull
LEYE,Lesser Yellowlegs
SOSP,Song Sparrow
CONI,Common Nighthawk
BEKI,Belted Kingfisher
BOWA,Bohemian Waxwing
GRYE,Greater Yellowlegs
NAWA,Nashville Warbler
WCSP,White-crowned Sparrow
BTNW,Black-throated Green Warbler
BLPW,Blackpoll Warbler
GHOW,Great Horned Owl
RNGR,Red-necked Grebe
REDH,Redhead
YHBL,Yellow-headed Blackbird
BOGU,Bonaparte's Gull
MAWR,Marsh Wren
SPTO,Spotted Towhee
SPSA,Spotted Sandpiper
BBWO,Black-backed Woodpecker
BBMA,Black-billed Magpie
SEWR,Sedge Wren
GRCA,Gray Catbird
CAWA,Canada Warbler
PUFI,Purple Finch
DOWO,Downy Woodpecker
BAOR,Baltimore Oriole
SAVS,Savannah Sparrow
WAVI,Warbling Vireo
VEER,Veery
BLBW,Blackburnian Warbler
BWHA,Broad-winged Hawk
GWTE,Green-winged Teal
EAKI,Eastern Kingbird
EUST,European Starling
BWTE,Blue-winged Teal
HEDT,Heavy deterrents
BARS,Barn Swallow
HOWR,House Wren
EAPH,Eastern Phoebe
RTHA,Red-tailed Hawk
CAGU,California Gull
BUFF,Bufflehead
MERL,Merlin
MYWA,Myrtle Warbler
CATO,Canadian Toad
NOPO,Northern Pygmy-owl
ATTW,American Three-toed Woodpecker
WETO,Western Toad
MEGU,Mew Gull
PSFL,Pacific-slope Flycatcher
MOBL,Mountain Bluebird
COGR,Common Grackle
WOLF,Wolf
HERG,Herring Gull
PALO,Pacific Loon
SPGR,Spruce Grouse
COTE,Common Tern
YERA,Yellow Rail
CORE,Common Redpoll
VATH,Varied Thrush
FOSP,Fox Sparrow
RNSA,Red-naped Sapsucker
UNSA,Unidentified Sapsucker
NOPA,Northern Parula
MGWA,MacGillivray's Warbler
CLNU,Clark's Nutcracker
PAWR,Pacific Wren
SPPE,Spring peeper
NSWO,Northern Saw-whet Owl
RECR,Red Crossbill
NESP,Nelson's Sparrow
GADW,Gadwall
VESP,Vesper Sparrow
NRWS,Northern Rough-winged Swallow
FOTE,Forster's Tern
WEME,Western Meadowlark
BRBL,Brewer's Blackbird
BOOW,Boreal Owl
GGOW,Great Gray Owl
SBDO,Short-billed Dowitcher
VIRA,Virginia Rail
DUGR,Dusky Grouse
GCTH,Gray-cheeked Thrush
ATSP,American Tree Sparrow
TOSO,Townsend's Solitaire
WTDE,White-tailed Deer
LALO,Lapland Longspur
OSPR,Osprey
AMKE,American Kestrel
BANS,Bank Swallow
WILL,Willet
NOBO,Northern Bobwhite
BWWA,Blue-winged Warbler
WBNU,White-breasted Nuthatch
GBHE,Great Blue Heron
NOPI,Northern Pintail
